date,payroll_diff
2014-01-01,189.0
2014-02-01,151.0
2014-03-01,273.0
2014-04-01,313.0
2014-05-01,215.0
2014-06-01,336.0
2014-07-01,223.0
2014-08-01,197.0
2014-09-01,294.0
2014-10-01,235.0
2014-11-01,291.0
2014-12-01,275.0
2015-01-01,204.0
2015-02-01,259.0
2015-03-01,96.0
2015-04-01,273.0
2015-05-01,342.0
2015-06-01,171.0
2015-07-01,282.0
2015-08-01,134.0
2015-09-01,150.0
2015-10-01,304.0
2015-11-01,229.0
2015-12-01,269.0
