date,dxy
2014-01-02,80.62999725341797
2014-01-03,80.79000091552734
2014-01-06,80.6500015258789
2014-01-07,80.83000183105469
2014-01-08,81.04000091552734
2014-01-09,81.01000213623047
2014-01-10,80.66000366210938
2014-01-13,80.51000213623047
2014-01-14,80.61000061035156
2014-01-15,81.0
2014-01-16,80.9000015258789
2014-01-17,81.26000213623047
2014-01-21,81.0999984741211
2014-01-22,81.16999816894531
2014-01-23,80.44000244140625
2014-01-24,80.45999908447266
2014-01-27,80.5
2014-01-28,80.56999969482422
2014-01-29,80.51000213623047
2014-01-30,81.08999633789062
2014-01-31,81.2699966430664
2014-02-03,81.01000213623047
2014-02-04,81.12000274658203
2014-02-05,81.02999877929688
2014-02-06,80.88999938964844
2014-02-07,80.69000244140625
2014-02-10,80.66999816894531
2014-02-11,80.62999725341797
2014-02-12,80.68000030517578
2014-02-13,80.29000091552734
2014-02-14,80.12999725341797
2014-02-18,80.01000213623047
2014-02-19,80.16999816894531
2014-02-20,80.29000091552734
2014-02-21,80.23999786376953
2014-02-24,80.20999908447266
2014-02-25,80.1500015258789
2014-02-26,80.41000366210938
2014-02-27,80.29000091552734
2014-02-28,79.77999877929688
2014-03-03,80.06999969482422
2014-03-04,80.16000366210938
2014-03-05,80.11000061035156
2014-03-06,79.68000030517578
2014-03-07,79.72000122070312
2014-03-10,79.75
2014-03-11,79.7699966430664
2014-03-12,79.61000061035156
2014-03-13,79.62000274658203
2014-03-14,79.44000244140625
2014-03-17,79.38999938964844
2014-03-18,79.41000366210938
2014-03-19,79.98999786376953
2014-03-20,80.20999908447266
2014-03-21,80.11000061035156
2014-03-24,79.93000030517578
2014-03-25,79.94000244140625
2014-03-26,79.9800033569336
2014-03-27,80.11000061035156
2014-03-28,80.18000030517578
2014-03-31,80.0999984741211
2014-04-01,80.08000183105469
2014-04-02,80.22000122070312
2014-04-03,80.47000122070312
2014-04-04,80.41999816894531
2014-04-07,80.22000122070312
2014-04-08,79.75
2014-04-09,79.4800033569336
2014-04-10,79.37999725341797
2014-04-11,79.44999694824219
2014-04-14,79.7300033569336
2014-04-15,79.80000305175781
2014-04-16,79.81999969482422
2014-04-17,79.83000183105469
2014-04-21,79.94999694824219
2014-04-22,79.91000366210938
2014-04-23,79.86000061035156
2014-04-24,79.80000305175781
2014-04-25,79.7699966430664
2014-04-28,79.68000030517578
2014-04-29,79.80999755859375
2014-04-30,79.48999786376953
2014-05-01,79.52999877929688
2014-05-02,79.5199966430664
2014-05-05,79.48999786376953
2014-05-06,79.13999938964844
2014-05-07,79.22000122070312
2014-05-08,79.43000030517578
2014-05-09,79.9000015258789
2014-05-12,79.9000015258789
2014-05-13,80.13999938964844
2014-05-14,80.06999969482422
2014-05-15,80.0
2014-05-16,80.04000091552734
2014-05-19,79.98999786376953
2014-05-20,80.04000091552734
2014-05-21,80.0999984741211
2014-05-22,80.25
2014-05-23,80.38999938964844
2014-05-27,80.3499984741211
2014-05-28,80.56999969482422
2014-05-29,80.48999786376953
2014-05-30,80.37000274658203
2014-06-02,80.63999938964844
2014-06-03,80.55000305175781
2014-06-04,80.66999816894531
2014-06-05,80.37000274658203
2014-06-06,80.41000366210938
2014-06-09,80.6500015258789
2014-06-10,80.81999969482422
2014-06-11,80.79000091552734
2014-06-12,80.58000183105469
2014-06-13,80.58000183105469
2014-06-16,80.47000122070312
2014-06-17,80.62999725341797
2014-06-18,80.58000183105469
2014-06-19,80.31999969482422
2014-06-20,80.37000274658203
2014-06-23,80.26000213623047
2014-06-24,80.33000183105469
2014-06-25,80.22000122070312
2014-06-26,80.2300033569336
2014-06-27,80.04000091552734
2014-06-30,79.77999877929688
2014-07-01,79.81999969482422
2014-07-02,79.95999908447266
2014-07-03,80.20999908447266
2014-07-07,80.22000122070312
2014-07-08,80.18000030517578
2014-07-09,79.98999786376953
2014-07-10,80.12999725341797
2014-07-11,80.19000244140625
2014-07-14,80.19000244140625
2014-07-15,80.38999938964844
2014-07-16,80.55999755859375
2014-07-17,80.5199966430664
2014-07-18,80.5199966430664
2014-07-21,80.55999755859375
2014-07-22,80.77999877929688
2014-07-23,80.80999755859375
2014-07-24,80.87000274658203
2014-07-25,81.02999877929688
2014-07-28,81.02999877929688
2014-07-29,81.20999908447266
2014-07-30,81.41999816894531
2014-07-31,81.45999908447266
2014-08-01,81.30000305175781
2014-08-04,81.33000183105469
2014-08-05,81.5199966430664
2014-08-06,81.44000244140625
2014-08-07,81.5199966430664
2014-08-08,81.38999938964844
2014-08-11,81.47000122070312
2014-08-12,81.5
2014-08-13,81.5999984741211
2014-08-14,81.58999633789062
2014-08-15,81.41999816894531
2014-08-18,81.58000183105469
2014-08-19,81.87999725341797
2014-08-20,82.25
2014-08-21,82.1500015258789
2014-08-22,82.33999633789062
2014-08-25,82.55000305175781
2014-08-26,82.6500015258789
2014-08-27,82.43000030517578
2014-08-28,82.4800033569336
2014-08-29,82.75
2014-09-02,82.98999786376953
2014-09-03,82.87000274658203
2014-09-04,83.81999969482422
2014-09-05,83.76000213623047
2014-09-08,84.2300033569336
2014-09-09,84.27999877929688
2014-09-10,84.25
2014-09-11,84.30000305175781
2014-09-12,84.23999786376953
2014-09-15,84.26000213623047
2014-09-16,84.06999969482422
2014-09-17,84.69999694824219
2014-09-18,84.31999969482422
2014-09-19,84.80000305175781
2014-09-22,84.66999816894531
2014-09-23,84.66000366210938
2014-09-24,85.05000305175781
