date,spread_10y_2y
2014-01-01,
2014-01-02,2.61
2014-01-03,2.5999999999999996
2014-01-06,2.58
2014-01-07,2.56
2014-01-08,2.5799999999999996
2014-01-09,2.5300000000000002
2014-01-10,2.4899999999999998
2014-01-13,2.4499999999999997
2014-01-14,2.4899999999999998
2014-01-15,2.4899999999999998
2014-01-16,2.4499999999999997
2014-01-17,2.44
2014-01-20,
2014-01-21,2.45
2014-01-22,2.43
2014-01-23,2.4
2014-01-24,2.38
2014-01-27,2.4099999999999997
2014-01-28,2.39
2014-01-29,2.33
2014-01-30,2.3600000000000003
2014-01-31,2.33
2014-02-03,2.31
2014-02-04,2.33
2014-02-05,2.3800000000000003
2014-02-06,2.4
2014-02-07,2.41
2014-02-10,2.3800000000000003
2014-02-11,2.4
2014-02-12,2.4499999999999997
2014-02-13,2.41
2014-02-14,2.43
2014-02-17,
2014-02-18,2.4
2014-02-19,2.4
2014-02-20,2.42
2014-02-21,2.4
2014-02-24,2.4
2014-02-25,2.3600000000000003
2014-02-26,2.34
2014-02-27,2.32
2014-02-28,2.33
2014-03-03,2.2800000000000002
2014-03-04,2.37
2014-03-05,2.37
2014-03-06,2.37
2014-03-07,2.42
2014-03-10,2.42
2014-03-11,2.4
2014-03-12,2.36
2014-03-13,2.3200000000000003
2014-03-14,2.29
2014-03-17,2.3200000000000003
2014-03-18,2.3200000000000003
2014-03-19,2.3099999999999996
2014-03-20,2.34
2014-03-21,2.3
2014-03-24,2.2700000000000005
2014-03-25,2.2800000000000002
2014-03-26,2.26
2014-03-27,2.2399999999999998
2014-03-28,2.28
2014-03-31,2.29
2014-04-01,2.33
2014-04-02,2.3499999999999996
2014-04-03,2.34
2014-04-04,2.31
2014-04-07,2.3
2014-04-08,2.29
2014-04-09,2.34
2014-04-10,2.28
2014-04-11,2.26
2014-04-14,2.28
2014-04-15,2.25
2014-04-16,2.26
2014-04-17,2.3
2014-04-18,
2014-04-21,2.31
2014-04-22,2.28
2014-04-23,2.27
2014-04-24,2.27
2014-04-25,2.25
2014-04-28,2.2600000000000002
2014-04-29,2.27
2014-04-30,2.25
2014-05-01,2.2199999999999998
2014-05-02,2.18
2014-05-05,2.1999999999999997
2014-05-06,2.1799999999999997
2014-05-07,2.21
2014-05-08,2.21
2014-05-09,2.22
2014-05-12,2.25
2014-05-13,2.2199999999999998
2014-05-14,2.15
2014-05-15,2.12
2014-05-16,2.14
2014-05-19,2.18
2014-05-20,2.17
2014-05-21,2.17
2014-05-22,2.19
2014-05-23,2.17
2014-05-26,
2014-05-27,2.13
2014-05-28,2.07
2014-05-29,2.08
2014-05-30,2.11
2014-06-02,2.15
2014-06-03,2.19
2014-06-04,2.1999999999999997
2014-06-05,2.19
2014-06-06,2.19
2014-06-09,2.19
2014-06-10,2.19
2014-06-11,2.21
2014-06-12,2.16
2014-06-13,2.15
2014-06-16,2.12
2014-06-17,2.1500000000000004
2014-06-18,2.13
2014-06-19,2.16
2014-06-20,2.13
2014-06-23,2.15
2014-06-24,2.0999999999999996
2014-06-25,2.09
2014-06-26,2.07
2014-06-27,2.09
2014-06-30,2.0599999999999996
2014-07-01,2.1100000000000003
2014-07-02,2.1500000000000004
2014-07-03,2.13
2014-07-04,
2014-07-07,2.11
2014-07-08,2.0700000000000003
2014-07-09,2.0599999999999996
2014-07-10,2.09
2014-07-11,2.05
2014-07-14,2.07
2014-07-15,2.0700000000000003
2014-07-16,2.05
2014-07-17,2.0
2014-07-18,1.99
2014-07-21,1.9800000000000002
2014-07-22,1.99
2014-07-23,1.98
2014-07-24,1.99
2014-07-25,1.95
2014-07-28,1.96
2014-07-29,1.9300000000000002
2014-07-30,2.01
2014-07-31,2.05
2014-08-01,2.05
2014-08-04,2.04
2014-08-05,2.0200000000000005
2014-08-06,2.0100000000000002
2014-08-07,1.9900000000000002
2014-08-08,1.99
2014-08-11,1.97
2014-08-12,2.01
2014-08-13,2.0
2014-08-14,1.98
2014-08-15,1.92
2014-08-18,1.9500000000000002
2014-08-19,1.94
2014-08-20,1.9400000000000002
2014-08-21,1.9200000000000002
2014-08-22,1.8699999999999999
2014-08-25,1.86
2014-08-26,1.87
2014-08-27,1.86
2014-08-28,1.8399999999999999
2014-08-29,1.87
2014-09-01,
2014-09-02,1.89
2014-09-03,1.8900000000000001
2014-09-04,1.9100000000000001
2014-09-05,1.94
2014-09-08,1.94
2014-09-09,1.94
2014-09-10,1.96
2014-09-11,1.96
2014-09-12,2.04
2014-09-15,2.02
2014-09-16,2.05
2014-09-17,2.0300000000000002
2014-09-18,2.04
2014-09-19,2.0
2014-09-22,1.9899999999999998
2014-09-23,1.9700000000000002
2014-09-24,1.98
2014-09-25,1.96
2014-09-26,1.9500000000000002
2014-09-29,1.92
2014-09-30,1.94
2014-10-01,1.89
2014-10-02,1.91
2014-10-03,1.8800000000000003
2014-10-06,1.8900000000000001
2014-10-07,1.8399999999999999
2014-10-08,1.8900000000000001
2014-10-09,1.88
2014-10-10,1.86
2014-10-13,
2014-10-14,1.8199999999999998
2014-10-15,1.8099999999999998
2014-10-16,1.8199999999999998
2014-10-17,1.83
2014-10-20,1.83
2014-10-21,1.85
2014-10-22,1.84
2014-10-23,1.8800000000000001
2014-10-24,1.8800000000000001
2014-10-27,1.86
2014-10-28,1.88
2014-10-29,1.8599999999999999
2014-10-30,1.8399999999999999
2014-10-31,1.85
2014-11-03,1.8399999999999999
2014-11-04,1.83
2014-11-05,1.8399999999999999
2014-11-06,1.85
2014-11-07,1.8099999999999998
2014-11-10,1.8299999999999998
2014-11-11,
2014-11-12,1.82
2014-11-13,1.82
2014-11-14,1.7799999999999998
2014-11-17,1.7999999999999998
2014-11-18,1.7899999999999998
2014-11-19,1.8199999999999998
2014-11-20,1.8099999999999998
2014-11-21,1.78
2014-11-24,1.7699999999999998
2014-11-25,1.76
2014-11-26,1.7100000000000002
2014-11-27,
2014-11-28,1.7100000000000002
2014-12-01,1.7300000000000002
2014-12-02,1.7299999999999998
2014-12-03,1.7200000000000002
2014-12-04,1.7
2014-12-05,1.6600000000000001
2014-12-08,1.6199999999999997
2014-12-09,1.58
2014-12-10,1.5900000000000003
2014-12-11,1.5699999999999998
2014-12-12,1.54
2014-12-15,1.52
2014-12-16,1.4899999999999998
2014-12-17,1.52
2014-12-18,1.5500000000000003
2014-12-19,1.5
2014-12-22,1.46
2014-12-23,1.5299999999999998
2014-12-24,1.54
2014-12-25,
2014-12-26,1.52
2014-12-29,1.5000000000000002
2014-12-30,1.5100000000000002
2014-12-31,1.5
2015-01-01,
2015-01-02,1.46
2015-01-05,1.3599999999999999
2015-01-06,1.3199999999999998
2015-01-07,1.3399999999999999
2015-01-08,1.4099999999999997
2015-01-09,1.3900000000000001
2015-01-12,1.3599999999999999
2015-01-13,1.3699999999999999
2015-01-14,1.35
2015-01-15,1.33
2015-01-16,1.34
2015-01-19,
2015-01-20,1.29
2015-01-21,1.34
2015-01-22,1.3699999999999999
2015-01-23,1.29
2015-01-26,1.29
2015-01-27,1.29
2015-01-28,1.23
2015-01-29,1.26
2015-01-30,1.21
2015-02-02,1.19
2015-02-03,1.27
2015-02-04,1.29
2015-02-05,1.31
2015-02-06,1.2999999999999998
2015-02-09,1.31
2015-02-10,1.3399999999999999
2015-02-11,1.33
2015-02-12,1.38
2015-02-13,1.3599999999999999
2015-02-16,
2015-02-17,1.4400000000000002
2015-02-18,1.4499999999999997
2015-02-19,1.44
2015-02-20,1.46
2015-02-23,1.42
